,id,is_humor,humor_rating,humor_mechanism,humor_target
0,tweet24001,1,1,irony,shaming
1,tweet24002,0,1,irony,shaming
2,tweet24003,1,1,irony,shaming
3,tweet24004,0,1,irony,shaming
4,tweet24005,0,1,irony,shaming
5,tweet24006,1,1,irony,shaming
6,tweet24007,0,1,irony,shaming
7,tweet24008,0,1,irony,shaming
8,tweet24009,1,1,irony,shaming
9,tweet24010,0,1,irony,shaming
10,tweet24011,1,1,irony,shaming
11,tweet24012,1,1,irony,shaming
12,tweet24013,1,1,irony,shaming
13,tweet24014,0,1,irony,shaming
14,tweet24015,1,1,irony,shaming
15,tweet24016,0,1,irony,shaming
16,tweet24017,0,1,irony,shaming
17,tweet24018,0,1,irony,shaming
18,tweet24019,1,1,irony,shaming
19,tweet24020,0,1,irony,shaming
20,tweet24021,0,1,irony,shaming
21,tweet24022,0,1,irony,shaming
22,tweet24023,1,1,irony,shaming
23,tweet24024,0,1,irony,shaming
24,tweet24025,0,1,irony,shaming
25,tweet24026,0,1,irony,shaming
26,tweet24027,1,1,irony,shaming
27,tweet24028,0,1,irony,shaming
28,tweet24029,0,1,irony,shaming
29,tweet24030,1,1,irony,shaming
30,tweet24031,1,1,irony,shaming
31,tweet24032,1,1,irony,shaming
32,tweet24033,1,1,irony,shaming
33,tweet24034,1,1,irony,shaming
34,tweet24035,0,1,irony,shaming
35,tweet24036,0,1,irony,shaming
36,tweet24037,0,1,irony,shaming
37,tweet24038,0,1,irony,shaming
38,tweet24039,0,1,irony,shaming
39,tweet24040,0,1,irony,shaming
40,tweet24041,0,1,irony,shaming
41,tweet24042,0,1,irony,shaming
42,tweet24043,1,1,irony,shaming
43,tweet24044,0,1,irony,shaming
44,tweet24045,0,1,irony,shaming
45,tweet24046,0,1,irony,shaming
46,tweet24047,1,1,irony,shaming
47,tweet24048,1,1,irony,shaming
48,tweet24049,0,1,irony,shaming
49,tweet24050,0,1,irony,shaming
50,tweet24051,0,1,irony,shaming
51,tweet24052,0,1,irony,shaming
52,tweet24053,1,1,irony,shaming
